BASENAME,YEARS,TreeCity,RegionName,RegionType,Metro,CountyName,X2020.01.31,PLACE,STATE,POPULATION,GEOID
Levasy,NA,NA,NA,NA,NA,NA,NA,41762,29,82,2941762
Loch Lloyd,NA,NA,NA,NA,NA,NA,NA,43468,29,649,2943468
Lupus,NA,NA,NA,NA,NA,NA,NA,44498,29,29,2944498
Luray,NA,NA,NA,NA,NA,NA,NA,44516,29,87,2944516
Maitland,NA,NA,NA,NA,NA,NA,NA,45596,29,289,2945596
Malta Bend,NA,NA,NA,NA,NA,NA,NA,45632,29,240,2945632
McBaine,NA,NA,NA,NA,NA,NA,NA,44768,29,9,2944768
McKittrick,NA,NA,NA,NA,NA,NA,NA,45200,29,56,2945200
Merriam Woods,NA,NA,NA,NA,NA,NA,NA,47520,29,2001,2947520
Metz,NA,NA,NA,NA,NA,NA,NA,47612,29,33,2947612
Miami,NA,NA,NA,NA,NA,NA,NA,47684,29,92,2947684
Milford,NA,NA,NA,NA,NA,NA,NA,48098,29,18,2948098
Mill Spring,NA,NA,NA,NA,NA,NA,NA,48386,29,130,2948386
Mine La Motte,NA,NA,NA,NA,NA,NA,NA,48602,29,332,2948602
Montier,NA,NA,NA,NA,NA,NA,NA,49610,29,23,2949610
Morehouse,NA,NA,NA,NA,NA,NA,NA,49898,29,913,2949898
Mound City,NA,NA,NA,NA,NA,NA,NA,50312,29,1114,2950312
Mount Leonard,NA,NA,NA,NA,NA,NA,NA,50510,29,42,2950510
Murphy,NA,NA,NA,NA,NA,NA,NA,50834,29,8163,2950834
Naylor,NA,NA,NA,NA,NA,NA,NA,51302,29,793,2951302
New Melle,NA,NA,NA,NA,NA,NA,NA,52148,29,442,2952148
Newark,NA,NA,NA,NA,NA,NA,NA,51662,29,82,2951662
Newburg,NA,NA,NA,NA,NA,NA,NA,51716,29,492,2951716
Novelty,NA,NA,NA,NA,NA,NA,NA,53516,29,175,2953516
O'Fallon,NA,NA,NA,NA,NA,NA,NA,54074,29,86340,2954074
Oakview,NA,NA,NA,NA,NA,NA,NA,53858,29,482,2953858
Old Jamestown,NA,NA,NA,NA,NA,NA,NA,54352,29,19439,2954352
Oronogo,NA,NA,NA,NA,NA,NA,NA,54920,29,2580,2954920
Osgood,NA,NA,NA,NA,NA,NA,NA,55424,29,20,2955424
Oxly,NA,NA,NA,NA,NA,NA,NA,55694,29,160,2955694
Ozora,NA,NA,NA,NA,NA,NA,NA,55892,29,117,2955892
Parma,NA,NA,NA,NA,NA,NA,NA,56342,29,660,2956342
Passaic,NA,NA,NA,NA,NA,NA,NA,56468,29,20,2956468
Peaceful Village,NA,NA,NA,NA,NA,NA,NA,56620,29,43,2956620
Pendleton,NA,NA,NA,NA,NA,NA,NA,56882,29,34,2956882
Plevna,NA,NA,NA,NA,NA,NA,NA,58574,29,13,2958574
Portage Des Sioux,NA,NA,NA,NA,NA,NA,NA,59150,29,376,2959150
Purcell,NA,NA,NA,NA,NA,NA,NA,60140,29,468,2960140
Queen City,NA,NA,NA,NA,NA,NA,NA,60356,29,694,2960356
Ravanna,NA,NA,NA,NA,NA,NA,NA,60644,29,92,2960644
Revere,NA,NA,NA,NA,NA,NA,NA,61292,29,60,2961292
Richards,NA,NA,NA,NA,NA,NA,NA,61364,29,181,2961364
Riverview Estates,NA,NA,NA,NA,NA,NA,NA,62210,29,79,2962210
Rushville,NA,NA,NA,NA,NA,NA,NA,63596,29,250,2963596
Rutledge,NA,NA,NA,NA,NA,NA,NA,63776,29,83,2963776
South Fork,NA,NA,NA,NA,NA,NA,NA,68762,29,92,2968762
South Gorin,NA,NA,NA,NA,NA,NA,NA,68870,29,87,2968870
South Lineville,NA,NA,NA,NA,NA,NA,NA,68942,29,12,2968942
Southwest City,NA,NA,NA,NA,NA,NA,NA,69230,29,1238,2969230
Stotesbury,NA,NA,NA,NA,NA,NA,NA,70954,29,17,2970954
Stoutland,NA,NA,NA,NA,NA,NA,NA,71008,29,185,2971008
Sumner,NA,NA,NA,NA,NA,NA,NA,71620,29,113,2971620
Terre du Lac,NA,NA,NA,NA,NA,NA,NA,72772,29,2663,2972772
Three Creeks,NA,NA,NA,NA,NA,NA,NA,73127,29,8,2973127
Triplett,NA,NA,NA,NA,NA,NA,NA,73870,29,16,2973870
Umber View Heights,NA,NA,NA,NA,NA,NA,NA,74473,29,51,2974473
Unity Village,NA,NA,NA,NA,NA,NA,NA,75202,29,92,2975202
Vandiver,NA,NA,NA,NA,NA,NA,NA,75706,29,75,2975706
Velda City,NA,NA,NA,NA,NA,NA,NA,75796,29,1367,2975796
Vista,NA,NA,NA,NA,NA,NA,NA,76390,29,64,2976390
Waco,NA,NA,NA,NA,NA,NA,NA,76444,29,59,2976444
Webb City,NA,NA,NA,NA,NA,NA,NA,78118,29,11572,2978118
Weingarten,NA,NA,NA,NA,NA,NA,NA,78226,29,74,2978226
Wellston,NA,NA,NA,NA,NA,NA,NA,78370,29,1775,2978370
Whiteside,NA,NA,NA,NA,NA,NA,NA,79558,29,60,2979558
Whitewater,NA,NA,NA,NA,NA,NA,NA,79612,29,116,2979612
Wilson City,NA,NA,NA,NA,NA,NA,NA,80260,29,51,2980260
Worth,NA,NA,NA,NA,NA,NA,NA,81070,29,65,2981070
Wortham,NA,NA,NA,NA,NA,NA,NA,81088,29,226,2981088
Worthington,NA,NA,NA,NA,NA,NA,NA,81106,29,201,2981106
Wyaconda,NA,NA,NA,NA,NA,NA,NA,81142,29,190,2981142
